measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,58,Estonia,3,Both,17,60-64 years,842,Environmental heat and cold exposure,1,Number,2007,15.57295642,19.10107754,12.55333242
1,Deaths,58,Estonia,3,Both,17,60-64 years,842,Environmental heat and cold exposure,2,Percent,2007,0.013203421,0.016231209,0.010642127
1,Deaths,58,Estonia,3,Both,17,60-64 years,842,Environmental heat and cold exposure,3,Rate,2007,24.09433111,29.55300679,19.42239737
1,Deaths,58,Estonia,3,Both,18,65-69 years,842,Environmental heat and cold exposure,1,Number,2007,12.84777287,15.5724213,10.58207668
1,Deaths,58,Estonia,3,Both,18,65-69 years,842,Environmental heat and cold exposure,2,Percent,2007,0.00693432,0.008405558,0.005711283
1,Deaths,58,Estonia,3,Both,18,65-69 years,842,Environmental heat and cold exposure,3,Rate,2007,16.90532788,20.4904687,13.92408457
1,Deaths,58,Estonia,3,Both,19,70-74 years,842,Environmental heat and cold exposure,1,Number,2007,6.920634024,8.452781552,5.576550774
1,Deaths,58,Estonia,3,Both,19,70-74 years,842,Environmental heat and cold exposure,2,Percent,2007,0.003335362,0.004067283,0.002701745
1,Deaths,58,Estonia,3,Both,19,70-74 years,842,Environmental heat and cold exposure,3,Rate,2007,11.66371157,14.24592106,9.398456782
1,Deaths,58,Estonia,3,Both,20,75-79 years,842,Environmental heat and cold exposure,1,Number,2007,4.408482613,5.424727833,3.481754301
1,Deaths,58,Estonia,3,Both,20,75-79 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001640279,0.002020814,0.001297505
1,Deaths,58,Estonia,3,Both,20,75-79 years,842,Environmental heat and cold exposure,3,Rate,2007,8.815899226,10.84814393,6.96266669
1,Deaths,58,Estonia,3,Both,30,80-84 years,842,Environmental heat and cold exposure,1,Number,2007,3.305871425,4.11320702,2.56577681
1,Deaths,58,Estonia,3,Both,30,80-84 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001250002,0.00155495,0.000974856
1,Deaths,58,Estonia,3,Both,30,80-84 years,842,Environmental heat and cold exposure,3,Rate,2007,10.93265751,13.60255069,8.48513312
1,Deaths,58,Estonia,3,Both,31,85-89 years,842,Environmental heat and cold exposure,1,Number,2007,1.354319135,1.744624028,1.014104066
1,Deaths,58,Estonia,3,Both,31,85-89 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000873428,0.001120162,0.000660877
1,Deaths,58,Estonia,3,Both,31,85-89 years,842,Environmental heat and cold exposure,3,Rate,2007,12.2765901,15.8146138,9.192619098
1,Deaths,58,Estonia,3,Both,32,90-94 years,842,Environmental heat and cold exposure,1,Number,2007,0.610505996,0.807165728,0.44324898
1,Deaths,58,Estonia,3,Both,32,90-94 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000612693,0.000805701,0.000445228
1,Deaths,58,Estonia,3,Both,32,90-94 years,842,Environmental heat and cold exposure,3,Rate,2007,13.95771395,18.45385372,10.13379478
1,Deaths,58,Estonia,3,Both,235,95+ years,842,Environmental heat and cold exposure,1,Number,2007,0.222476822,0.283152257,0.164575669
1,Deaths,58,Estonia,3,Both,235,95+ years,842,Environmental heat and cold exposure,2,Percent,2007,0.000559856,0.000715125,0.000414579
1,Deaths,58,Estonia,3,Both,235,95+ years,842,Environmental heat and cold exposure,3,Rate,2007,20.21239141,25.72485612,14.95197483
1,Deaths,75,Austria,3,Both,4,28-364 days,842,Environmental heat and cold exposure,1,Number,2007,0.023582287,0.034140064,0.015721886
1,Deaths,75,Austria,3,Both,4,28-364 days,842,Environmental heat and cold exposure,2,Percent,2007,0.000260279,0.000364878,0.000183959
1,Deaths,75,Austria,3,Both,4,28-364 days,842,Environmental heat and cold exposure,3,Rate,2007,0.033096086,0.047913186,0.022064564
1,Deaths,75,Austria,3,Both,5,1-4 years,842,Environmental heat and cold exposure,1,Number,2007,0.070842425,0.101771502,0.049015912
1,Deaths,75,Austria,3,Both,5,1-4 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001175293,0.001573936,0.000868348
1,Deaths,75,Austria,3,Both,5,1-4 years,842,Environmental heat and cold exposure,3,Rate,2007,0.022115004,0.031770187,0.015301383
1,Deaths,75,Austria,3,Both,6,5-9 years,842,Environmental heat and cold exposure,1,Number,2007,0.037784268,0.043637184,0.033114369
1,Deaths,75,Austria,3,Both,6,5-9 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001037905,0.001188834,0.000913688
1,Deaths,75,Austria,3,Both,6,5-9 years,842,Environmental heat and cold exposure,3,Rate,2007,0.009153656,0.01057159,0.008022322
1,Deaths,75,Austria,3,Both,7,10-14 years,842,Environmental heat and cold exposure,1,Number,2007,0.044437282,0.048868471,0.040338404
1,Deaths,75,Austria,3,Both,7,10-14 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000890209,0.000980076,0.000809904
1,Deaths,75,Austria,3,Both,7,10-14 years,842,Environmental heat and cold exposure,3,Rate,2007,0.009404849,0.01034268,0.008537349
1,Deaths,75,Austria,3,Both,8,15-19 years,842,Environmental heat and cold exposure,1,Number,2007,0.335401035,0.442818059,0.25338866
1,Deaths,75,Austria,3,Both,8,15-19 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001466517,0.00193836,0.001105833
1,Deaths,75,Austria,3,Both,8,15-19 years,842,Environmental heat and cold exposure,3,Rate,2007,0.067218731,0.0887465,0.050782384
1,Deaths,75,Austria,3,Both,9,20-24 years,842,Environmental heat and cold exposure,1,Number,2007,0.475485852,0.637688026,0.350802949
1,Deaths,75,Austria,3,Both,9,20-24 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001589226,0.002128095,0.00116788
1,Deaths,75,Austria,3,Both,9,20-24 years,842,Environmental heat and cold exposure,3,Rate,2007,0.091656586,0.122923336,0.067622203
1,Deaths,75,Austria,3,Both,10,25-29 years,842,Environmental heat and cold exposure,1,Number,2007,0.459345418,0.624519619,0.334041701
1,Deaths,75,Austria,3,Both,10,25-29 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001800166,0.002441045,0.001309335
1,Deaths,75,Austria,3,Both,10,25-29 years,842,Environmental heat and cold exposure,3,Rate,2007,0.085659546,0.116461524,0.062292688
1,Deaths,75,Austria,3,Both,11,30-34 years,842,Environmental heat and cold exposure,1,Number,2007,0.759906202,0.978138496,0.59780448
1,Deaths,75,Austria,3,Both,11,30-34 years,842,Environmental heat and cold exposure,2,Percent,2007,0.002373382,0.003062055,0.001871599
1,Deaths,75,Austria,3,Both,11,30-34 years,842,Environmental heat and cold exposure,3,Rate,2007,0.139319429,0.179329629,0.109600078
1,Deaths,75,Austria,3,Both,12,35-39 years,842,Environmental heat and cold exposure,1,Number,2007,1.338553389,1.684810186,1.039992836
1,Deaths,75,Austria,3,Both,12,35-39 years,842,Environmental heat and cold exposure,2,Percent,2007,0.002495726,0.00314183,0.001943065
1,Deaths,75,Austria,3,Both,12,35-39 years,842,Environmental heat and cold exposure,3,Rate,2007,0.203144266,0.255693596,0.157833512
1,Deaths,75,Austria,3,Both,13,40-44 years,842,Environmental heat and cold exposure,1,Number,2007,2.00086046,2.620077908,1.529558006
1,Deaths,75,Austria,3,Both,13,40-44 years,842,Environmental heat and cold exposure,2,Percent,2007,0.002182516,0.002851434,0.001666444
1,Deaths,75,Austria,3,Both,13,40-44 years,842,Environmental heat and cold exposure,3,Rate,2007,0.279811336,0.366406111,0.213901808
1,Deaths,75,Austria,3,Both,14,45-49 years,842,Environmental heat and cold exposure,1,Number,2007,2.424725772,3.169012292,1.838693241
1,Deaths,75,Austria,3,Both,14,45-49 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001673528,0.002186204,0.001269278
1,Deaths,75,Austria,3,Both,14,45-49 years,842,Environmental heat and cold exposure,3,Rate,2007,0.370755655,0.484561694,0.281147635
1,Deaths,75,Austria,3,Both,15,50-54 years,842,Environmental heat and cold exposure,1,Number,2007,2.920169122,3.895949506,2.245823035
1,Deaths,75,Austria,3,Both,15,50-54 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001442556,0.001912753,0.00110622
1,Deaths,75,Austria,3,Both,15,50-54 years,842,Environmental heat and cold exposure,3,Rate,2007,0.534752234,0.713440768,0.411263469
1,Deaths,75,Austria,3,Both,16,55-59 years,842,Environmental heat and cold exposure,1,Number,2007,3.204785638,4.096115184,2.487369145
1,Deaths,75,Austria,3,Both,16,55-59 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001066779,0.00136473,0.00082764
1,Deaths,75,Austria,3,Both,16,55-59 years,842,Environmental heat and cold exposure,3,Rate,2007,0.648754689,0.829189291,0.503525845
1,Deaths,75,Austria,3,Both,17,60-64 years,842,Environmental heat and cold exposure,1,Number,2007,2.77552119,3.656837224,2.066541793
1,Deaths,75,Austria,3,Both,17,60-64 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000706023,0.000925173,0.000526374
1,Deaths,75,Austria,3,Both,17,60-64 years,842,Environmental heat and cold exposure,3,Rate,2007,0.64198747,0.845838859,0.477998129
1,Deaths,75,Austria,3,Both,18,65-69 years,842,Environmental heat and cold exposure,1,Number,2007,3.074287631,3.787337887,2.440116634
1,Deaths,75,Austria,3,Both,18,65-69 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000512479,0.000634258,0.000406178
1,Deaths,75,Austria,3,Both,18,65-69 years,842,Environmental heat and cold exposure,3,Rate,2007,0.658894122,0.811718021,0.522975954
1,Deaths,75,Austria,3,Both,19,70-74 years,842,Environmental heat and cold exposure,1,Number,2007,2.747079688,3.508937444,2.165447683
1,Deaths,75,Austria,3,Both,19,70-74 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000444998,0.000569488,0.000350387
1,Deaths,75,Austria,3,Both,19,70-74 years,842,Environmental heat and cold exposure,3,Rate,2007,0.923860067,1.180077591,0.728253588
1,Deaths,75,Austria,3,Both,20,75-79 years,842,Environmental heat and cold exposure,1,Number,2007,3.567123073,4.434316352,2.791194928
1,Deaths,75,Austria,3,Both,20,75-79 years,842,Environmental heat and cold exposure,2,Percent,2007,0.00035095,0.000437125,0.000275656
1,Deaths,75,Austria,3,Both,20,75-79 years,842,Environmental heat and cold exposure,3,Rate,2007,1.283497459,1.595524924,1.004308381
1,Deaths,75,Austria,3,Both,30,80-84 years,842,Environmental heat and cold exposure,1,Number,2007,4.625957943,5.850173732,3.609554127
1,Deaths,75,Austria,3,Both,30,80-84 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000324769,0.000411011,0.000254092
1,Deaths,75,Austria,3,Both,30,80-84 years,842,Environmental heat and cold exposure,3,Rate,2007,2.111330009,2.670073424,1.647433903
1,Deaths,75,Austria,3,Both,31,85-89 years,842,Environmental heat and cold exposure,1,Number,2007,3.339441551,4.314374472,2.567519282
1,Deaths,75,Austria,3,Both,31,85-89 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000258489,0.000334336,0.000198844
1,Deaths,75,Austria,3,Both,31,85-89 years,842,Environmental heat and cold exposure,3,Rate,2007,2.895892625,3.7413337,2.226498066
1,Deaths,75,Austria,3,Both,32,90-94 years,842,Environmental heat and cold exposure,1,Number,2007,1.478075082,1.909838785,1.10704828
1,Deaths,75,Austria,3,Both,32,90-94 years,842,Environmental heat and cold exposure,2,Percent,2007,0.000201532,0.000261267,0.000150892
1,Deaths,75,Austria,3,Both,32,90-94 years,842,Environmental heat and cold exposure,3,Rate,2007,4.201364296,5.428633889,3.146736707
1,Deaths,75,Austria,3,Both,235,95+ years,842,Environmental heat and cold exposure,1,Number,2007,0.863310048,1.175101468,0.595065995
1,Deaths,75,Austria,3,Both,235,95+ years,842,Environmental heat and cold exposure,2,Percent,2007,0.000212431,0.000289305,0.000146409
1,Deaths,75,Austria,3,Both,235,95+ years,842,Environmental heat and cold exposure,3,Rate,2007,7.564914244,10.29704433,5.214376032
1,Deaths,59,Latvia,3,Both,4,28-364 days,842,Environmental heat and cold exposure,1,Number,2007,0.038996583,0.057769507,0.025675582
1,Deaths,59,Latvia,3,Both,4,28-364 days,842,Environmental heat and cold exposure,2,Percent,2007,0.000618728,0.000897218,0.000409134
1,Deaths,59,Latvia,3,Both,4,28-364 days,842,Environmental heat and cold exposure,3,Rate,2007,0.191086573,0.283075501,0.125812539
1,Deaths,59,Latvia,3,Both,5,1-4 years,842,Environmental heat and cold exposure,1,Number,2007,0.046642964,0.06460418,0.031876517
1,Deaths,59,Latvia,3,Both,5,1-4 years,842,Environmental heat and cold exposure,2,Percent,2007,0.001312628,0.001751983,0.000945997
1,Deaths,59,Latvia,3,Both,5,1-4 years,842,Environmental heat and cold exposure,3,Rate,2007,0.056829159,0.078712863,0.038837919
