COUNTRY,meanval,upperval,lowerval,Age,CNTRY,ISO3,Country.code
Czech Republic,2.652706793217133e-5,3.1741417010406695e-5,2.185663562007674e-5,65,CZE,NA,NA
Czech Republic,2.7939480140254837e-5,3.389945983070435e-5,2.2704012637073267e-5,70,CZE,NA,NA
Czech Republic,3.244863892947689e-5,3.9134053790216864e-5,2.669689663399482e-5,75,CZE,NA,NA
Czech Republic,4.865992046428118e-5,5.870335512850265e-5,3.999638379808043e-5,80,CZE,NA,NA
Czech Republic,7.856940621894939e-5,9.52633258499051e-5,6.394996427432934e-5,85,CZE,NA,NA
Czech Republic,1.1302533282983961e-4,1.3977935796505295e-4,9.033007456271041e-5,90,CZE,NA,NA
Czech Republic,1.4468136688696164e-4,1.848998138878977e-4,1.1340075551581734e-4,95,CZE,NA,NA
Hungary,9.758313889403052e-7,1.2979507455691922e-6,7.175744795557114e-7,0,HUN,HUN,348
Hungary,2.452418642892199e-7,3.275203349500987e-7,1.8074330393470862e-7,1,HUN,HUN,348
Hungary,1.698563502929809e-7,2.210928653138581e-7,1.3196970059783094e-7,5,HUN,HUN,348
Hungary,2.1787683671069214e-7,2.7689541268955743e-7,1.7106914773637673e-7,10,HUN,HUN,348
Hungary,1.2052764191524067e-6,1.6214286180445195e-6,8.662998042417824e-7,15,HUN,HUN,348
Hungary,1.8116424357623797e-6,2.3794564937022647e-6,1.3612558937836793e-6,20,HUN,HUN,348
Hungary,3.0117400034438286e-6,3.881465901408068e-6,2.3162458282190624e-6,25,HUN,HUN,348
Hungary,5.124736106173469e-6,6.57567864003344e-6,3.949795770521124e-6,30,HUN,HUN,348
Hungary,1.0207184810947071e-5,1.2683873785834991e-5,8.114122320333403e-6,35,HUN,HUN,348
Hungary,1.6488103871265076e-5,1.9957387558999906e-5,1.3402754591874008e-5,40,HUN,HUN,348
Hungary,3.239177940088474e-5,3.870321180713055e-5,2.6981143563532845e-5,45,HUN,HUN,348
Hungary,4.737114186014396e-5,5.584611459500893e-5,3.988747482449797e-5,50,HUN,HUN,348
Hungary,4.7867715083646174e-5,5.620622363869027e-5,4.051999962554747e-5,55,HUN,HUN,348
Hungary,4.625597634709811e-5,5.519344976214622e-5,3.8660388322833835e-5,60,HUN,HUN,348
Hungary,3.961055569187244e-5,4.6968004322669536e-5,3.299692129255365e-5,65,HUN,HUN,348
Hungary,4.097543988036456e-5,4.918037660846284e-5,3.344844330001861e-5,70,HUN,HUN,348
Hungary,4.629248727015821e-5,5.5001463909257875e-5,3.861495468474768e-5,75,HUN,HUN,348
Hungary,6.53739648501555e-5,7.863964396008619e-5,5.4126012370223325e-5,80,HUN,HUN,348
Hungary,9.013608128344241e-5,1.1107975255213443e-4,7.259033244086957e-5,85,HUN,HUN,348
Hungary,9.52005669908281e-5,1.1865122289581215e-4,7.507603356145912e-5,90,HUN,HUN,348
Hungary,1.4444431721666402e-4,1.825509198157854e-4,1.1158017022341797e-4,95,HUN,HUN,348
Poland,1.0386187435723059e-6,1.3539337713296505e-6,7.77291855814387e-7,0,POL,POL,616
Poland,7.578954988180055e-7,9.86747137858086e-7,5.701556709218296e-7,1,POL,POL,616
Poland,2.638583311007714e-7,3.3734268098795335e-7,2.0499044247620833e-7,5,POL,POL,616
Poland,3.701822286082957e-7,4.6022124941891767e-7,2.9654649857687575e-7,10,POL,POL,616
Poland,1.5186876303033977e-6,1.9765040719506523e-6,1.1704218361768502e-6,15,POL,POL,616
Poland,2.4712078619802443e-6,3.100626746476352e-6,1.9474819113725138e-6,20,POL,POL,616
Poland,2.9961092265816107e-6,3.7084902526384176e-6,2.3883011373497775e-6,25,POL,POL,616
Poland,6.167614849809836e-6,7.450188150368903e-6,5.037722741729677e-6,30,POL,POL,616
Poland,1.0784238347925156e-5,1.2767750485314302e-5,9.083480837059948e-6,35,POL,POL,616
Poland,1.546807852712434e-5,1.8312306066914994e-5,1.3014864609939385e-5,40,POL,POL,616
Poland,2.479582787747665e-5,2.9151813092200786e-5,2.1032165966902562e-5,45,POL,POL,616
Poland,2.9158073525489517e-5,3.3864755002439385e-5,2.4892361587910226e-5,50,POL,POL,616
Poland,2.828199660092286e-5,3.288887378721538e-5,2.40727253856141e-5,55,POL,POL,616
Poland,2.3944213381048697e-5,2.8402505787414863e-5,2.0116833890254654e-5,60,POL,POL,616
Poland,1.9860134499352647e-5,2.3202512620254346e-5,1.696217144106196e-5,65,POL,POL,616
Poland,1.6414475987130613e-5,1.96451618463374e-5,1.367971965133677e-5,70,POL,POL,616
Poland,1.766173784633435e-5,2.0971916470392746e-5,1.4857449945258986e-5,75,POL,POL,616
Poland,2.4193823618601546e-5,2.8652821977365495e-5,2.0380500583856462e-5,80,POL,POL,616
Poland,3.1427617083845254e-5,3.8093548307025206e-5,2.5689172101653588e-5,85,POL,POL,616
Poland,4.439733621989023e-5,5.5423859833635235e-5,3.5372273475920694e-5,90,POL,POL,616
Poland,6.38835261175353e-5,8.097759100233098e-5,5.078568750529252e-5,95,POL,POL,616
Romania,3.4832986194108177e-6,4.406843249158594e-6,2.736636769697963e-6,0,ROU,ROU,642
Romania,1.5961043361709924e-6,2.083846931583211e-6,1.2193514804468852e-6,1,ROU,ROU,642
Romania,8.011115904464479e-7,1.0082086682220002e-6,6.229462902445075e-7,5,ROU,ROU,642
Romania,1.1220327226507103e-6,1.3869448946124783e-6,8.890321990189806e-7,10,ROU,ROU,642
Romania,2.185499512652465e-6,2.808962870471837e-6,1.677495724789986e-6,15,ROU,ROU,642
Romania,3.753963305686416e-6,4.722288761612083e-6,2.92078636218584e-6,20,ROU,ROU,642
Romania,5.119256461868087e-6,6.3228174154024415e-6,4.165669379187065e-6,25,ROU,ROU,642
Romania,7.490085162022096e-6,9.087690739791409e-6,6.054109563530646e-6,30,ROU,ROU,642
Romania,1.1908744811831017e-5,1.4150545554000198e-5,1.0049142543006283e-5,35,ROU,ROU,642
Romania,2.0094168519697465e-5,2.3632688514637675e-5,1.711330521218716e-5,40,ROU,ROU,642
Romania,3.089683787276242e-5,3.60835789325666e-5,2.6478834872622403e-5,45,ROU,ROU,642
Romania,3.9609592690939804e-5,4.5847061246277564e-5,3.428873354743434e-5,50,ROU,ROU,642
Romania,4.173115519493452e-5,4.844048367203481e-5,3.6063799051431464e-5,55,ROU,ROU,642
Romania,3.9186238729533585e-5,4.614140584917028e-5,3.316886693492345e-5,60,ROU,ROU,642
Romania,3.8357924993377445e-5,4.416896847771159e-5,3.305658534141625e-5,65,ROU,ROU,642
Romania,3.468235694867999e-5,4.0469213191000384e-5,2.9425415730452617e-5,70,ROU,ROU,642
Romania,3.561276088262893e-5,4.121645990259297e-5,3.05490747934565e-5,75,ROU,ROU,642
Romania,4.454477709723656e-5,5.233958524794666e-5,3.77179970379677e-5,80,ROU,ROU,642
Romania,4.7190310490398495e-5,5.712281507713736e-5,3.874786101027443e-5,85,ROU,ROU,642
Romania,3.9109425011375514e-5,4.7719507045730186e-5,3.189570914891942e-5,90,ROU,ROU,642
Romania,2.2148054672465945e-5,2.7882164459459467e-5,1.746771812217415e-5,95,ROU,ROU,642
Slovakia,3.2910747198977207e-6,4.959161450713411e-6,1.7659435932072448e-6,0,SVK,SVK,703
Slovakia,8.524848194041875e-7,1.2334368557358528e-6,5.767201261457715e-7,1,SVK,SVK,703
